,Machine.Number.x,AnalysisUnit,Match_ID,Class,Order,Family,Genus,Species,IDConfidence,MNI,NISP,Context,Modification,Type,Original.Bib,Taxon.Bib,Comment.x,FaunalSeq,LocSeq.x,Machine.Number.y,Analysis.unit,SiteName,AlternateName,State.prov,County,Site.Number,CodedBy,DateCoded,CodingUpdate,Comment.y,Precision,Quadrangle,QuadSize,Township,Latitude,Longitude,Altitude,Repository,Bibnum,LATDD,LONGDD,RecoveryMethod,DepositionalSystem,DepositionalEnvironment,Facies,Mixing,Group,Formation,Member,Arch.Period,Arch.Epoch,Arch.Age,Arch.Land.Mammal.Age,Arch.Bibnum,Period,Epoch,Age,NALMA,Oxgen.isotope,Magnetochron,RepennMicrotineBioStrat,BellMicirotineBioStrata,MinimumAge,MinimumAge(Years),,MinimunAgeMethod,MaximumAge,MaximunAgeMethod,Millennium,SiteType,Agent,Cultural.Age,Bone.modification,LocSeq.y,DB
331,"2,366.00",Assemblage,2366_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,2366,Assemblage,Gromiller Cave,,PA,BLAIR,36BL1,MKM,8/28/92 0:00,,,QA,HOLIDAYSBURG,7.5,NA,40.22,-78.22,,CMNH,NA,40.36666667,-78.36666667,,CV,HZ,,Y,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.01,CULT,NA,CULT,HH,Archaic; Woodland; Late Prehistoric; Historic,BT,0,f
334,"2,370.00",Assemblage,2370_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,2370,Assemblage,Buchanan Rock Shelter,,PA,BEAVER,36BV83,MKM,8/31/92 0:00,,,QP,BURGETTSTOWN,7.5,NA,40.22,-80.22,330,CMNH,NA,40.36666667,-80.36666667,,CV,RS,,Y,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.00165,CULT,NA,CULT,HH,Woodland; Late Prehistoric; Historic,,0,f
340,"2,518.00",Assemblage,2518_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,2,NA, ,NA,NA,NA, ,0,0,2518,Assemblage,Jerry Long Cave,,MO,RALLS,,MAG,11/16/92 0:00,,,QP,PERRY,7.5,NA,39.22,-91.37,,ISM,NA,39.36666667,-91.61666667,,CV,FS,,,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,100,BRUN,,NA,1E-06,1,Present,BIOS,0.01,BIOS,NA,PALEO,TR,,,0,f
344,"2,567.00",Level 1,2567_Level 1,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,2,NA, ,NA,NA,NA, ,0,0,2567,Level 1,Pot Shelter,,MO,CRAWFORD,23CR149,MAG,11/21/92 0:00,3/5/02 0:00,No fauna in Level 28,QA,ONONDAGA CAVE,7.5,NA,38.6,-91.1,,UMO,NA,38.1,-91.16666667,CRSE,CV,RS,,Y,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.0013,14CG,NA,CULT,HH,Historic; Woodland,,0,f
347,"2,567.00",Level 3,2567_Level 3,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,2567,Level 3,Pot Shelter,,MO,CRAWFORD,23CR149,MAG,11/21/92 0:00,3/5/02 0:00,No fauna in Level 28,QA,ONONDAGA CAVE,7.5,NA,38.6,-91.1,,UMO,NA,38.1,-91.16666667,CRSE,CV,RS,,Y,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.0013,14CG,NA,CULT,HH,Woodland; Historic,,0,f
365,"2,601.00",Assemblage,2601_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,2601,Assemblage,Cooke,,IL,COOK,11CK52,MAG,1/15/93 0:00,,,QP,BARRINGTON,7.5,NA,42.74,-88.1405,258,ISM?,NA,42.11666667,-88.23333333,,FL,,OD,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,1,BRUN,,NA,1E-06,1,Present,CULT,0.012,CULT,NA,CULT,HH,Paleonindian; Historic; Archaic; Woodland,,0,f
373,"2,650.00",Assemblage,2650_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,5,81,NA, ,NA,NA,NA, ,0,0,2650,Assemblage,Meyer Cave,,IL,MONROE,,MAG,1/16/93 0:00,,,QP,OAKVILLE,7.5,NA,38.2348,-90.1514,,ISM,NA,38.38333333,-90.25,FINE,CV,FS,,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,1,BRUN,,NA,1E-06,1,Present,STRA,0.01145,BIOS,NA,CULT,CD,Middle Archaic; Late Woodland,,0,f
201,"1,377.00",Assemblage,1377_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1377,Assemblage,Elk Creek Lake Site 35JA59,,OR,JACKSON,35JA59,RFS,11/21/91 0:00,,,QP,MCLEOD,7.5,NA,42.37,-122.37,512,SI-RBS,NA,42.61666667,-122.6166667,MESE,AN,CU,OD,Y,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,5E-05,50,Present,CULT,0.0022,CULT,NA,CULT,"NA, HH",Rogue 1; Rogue 2,HB,0,f
202,"1,378.00",Assemblage,1378_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,2,NA, ,NA,NA,NA, ,0,0,1378,Assemblage,Elk Creek Lake Site 35JA100,,OR,JACKSON,35JA100,RFS,11/21/91 0:00,,,QP,MCLEOD,7.5,NA,42.37,-122.37,488,SI-RBS,NA,42.61666667,-122.6166667,MESE,AN,CU,OD,Y,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,5E-05,50,Present,CULT,0.0055,CULT,NA,CULT,"NA, HH",Marial; Coquille; Rogue,"BN, HB",0,f
72,321,Assemblage,321_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,321,Assemblage,Fort Washita,,OK,BRYAN,34Br70,MKM,7/1/91 0:00,,,QP,LITTLE CITY,7.5,NA,34,-96.3,,UOK,NA,34,-96.5,,AN,,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,9E-05,90,Present,CULT,0.000108,CULT,NA,CULT,HH,Historic,HB,0,f
