,Machine.Number.x,AnalysisUnit,Match_ID,Class,Order,Family,Genus,Species,IDConfidence,MNI,NISP,Context,Modification,Type,Original.Bib,Taxon.Bib,Comment.x,FaunalSeq,LocSeq.x,Machine.Number.y,Analysis.unit,SiteName,AlternateName,State.prov,County,Site.Number,CodedBy,DateCoded,CodingUpdate,Comment.y,Precision,Quadrangle,QuadSize,Township,Latitude,Longitude,Altitude,Repository,Bibnum,LATDD,LONGDD,RecoveryMethod,DepositionalSystem,DepositionalEnvironment,Facies,Mixing,Group,Formation,Member,Arch.Period,Arch.Epoch,Arch.Age,Arch.Land.Mammal.Age,Arch.Bibnum,Period,Epoch,Age,NALMA,Oxgen.isotope,Magnetochron,RepennMicrotineBioStrat,BellMicirotineBioStrata,MinimumAge,MinimumAge(Years),,MinimunAgeMethod,MaximumAge,MaximunAgeMethod,Millennium,SiteType,Agent,Cultural.Age,Bone.modification,LocSeq.y,DB
3,25,Merrill Tract,25_Merrill Tract,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,25,Merrill Tract,Cahokia,,IL,ST.CLAIR,,MAG,1/19/91 0:00,,,E,MONK'S MOUND,7.5,NA,38.3946,-90.0517,,ISM,NA,38.65,-90.08333333,,AN,,,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,4E-04,400,late-Holocene,CULT,8E-04,CULT,NA,CULT,HH,Mississippian,,0,f
24,72,Assemblage,72_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,72,Assemblage,McKees Rocks Village,,PA,ALLEGHENY,36AL16,MAG,2/16/91 0:00,,,E,PITTSBURGH EAST,7.5,NA,40.282,-80.0259,,,NA,40.46666667,-80.03333333,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,4E-04,400,late-Holocene,CULT,0.00062,14CG,NA,CULT,HH,Late Prehistoric,HB,0,f
250,"1,762.00",Assemblage,1762_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,4,NA, ,NA,NA,NA, ,0,0,1762,Assemblage,Fifield,,IN,PORTER,PR 55,MAG,10/6/92 0:00,,,QA,CHESTERTON,7.5,NA,41.3,-87,193,IND HIST SOC,NA,41.5,-87,,FL,,TE,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,4E-04,400,late-Holocene,CULT,0.0013,CULT,NA,CULT,HH,Mississippian,BT,0,f
34,87,Assemblage,87_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,9,25,NA, ,NA,NA,NA, ,0,0,87,Assemblage,Mount Carbon,,WV,FAYETTE,46FA7,RWG,2/19/91 0:00,2/21/02 0:00,,E,MONTGOMERY,7.5,NA,38.8,-81.17,,CMNH,NA,38.13333333,-81.28333333,,,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00045,450,late-Holocene,CULT,0.00055,CULT,NA,CULT,HH,Ft. Ancient,HB,0,f
242,"1,710.00",Site Except Feature 21,1710_Site Except Feature 21,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,4,NA, ,NA,NA,NA, ,0,0,1710,Site Except Feature 21,Bellefonte,,AL,JACKSON,1JA300,MKR,7/31/92 0:00,,,QP,HOLLYWOOD,7.5,NA,34.37,-85.52,,,NA,34.61666667,-85.86666667,MESE,AN,CU,MN,P,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,LMHO,HOLO,1,BRUN,,NA,0.00045,450,late-Holocene,CULT,0.005,CULT,NA,CULT,HH,Late Archaic; Woodland; Mississippian,HB,0,f
133,917,Assemblage,917_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,2,NA, ,NA,NA,NA, ,0,0,917,Assemblage,Callahan-Thompson,,MO,MISSISSIPPI,23MI71,MKM,7/6/92 0:00,,,QP,BAYOUVILLE,7.5,NA,36.37,-89.15,,UMO,NA,36.61666667,-89.25,FLOT,FL,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00048,480,late-Holocene,14CG,0.00057,14CG,NA,CULT,HH,,"BN, SM, HB, BT",0,f
143,"1,048.00",Stratum 14,1048_Stratum 14,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,1048,Stratum 14,Hogup Cave,,UT,BOX ELDER,,RFS,4/12/91 0:00,4/15/91 0:00,,QA,TANGENT PEAK,7.5,NA,41.22,-113.07,,UMNH,NA,41.36666667,-113.1166667,CRFI,CV,RS,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00048,480,late-Holocene,14CG,0.00153,14CG,NA,CULT,HH,Fremont; Sevier,DE,0,f
88,444,Assemblage,444_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,444,Assemblage,25FT70,,NE,FRONTIER,25FT70,MKM,7/26/91 0:00,1/28/92 0:00,,E,MEDICINE CREEK DAM,7.5,NA,40.23,-100.135,,NSHS,NA,40.38333333,-100.2166667,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,14CG,0.00126,14CG,NA,CULT,HH,Late Prehistoric; Upper Republican,,0,f
94,527,Assemblage,527_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,527,Assemblage,Dixon,,IA,WOODBURY,13WD8,MKM,7/31/91 0:00,3/4/02 0:00,,QP,CORRECTIONVILLE,7.5,NA,42.1508,-95.45,,UWISC,NA,42.25,-95.75,CRSE,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,,BRUN,,NA,5E-04,500,late-Holocene,14CG,0.00082,14CG,NA,CULT,HH,Late Prehistoric; Oneota,BT,0,f
128,862,Assemblage,862_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,862,Assemblage,Bronck House Rockshelter,,NY,GREENE,Cox-23-4,MKM,7/1/92 0:00,,,QA,HUDSON NORTH,7.5,NA,42.15,-73.45,,NYSM,NA,42.25,-73.75,,CV,RS,,,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,LMHO,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,CULT,0.005,CULT,NA,CULT,HH,Late Archaic; Middle Woodland; Late Woodland; Historic,,0,f
164,"1,158.00",Point of Pines Phase,1158_Point of Pines Phase,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1158,Point of Pines Phase,Point of Pines,,AZ,GRAHAM,,RFS,7/1/91 0:00,,,QA,POINT OF PINES EAST,7.5,NA,33.15,-109.37,,UALP,NA,33.25,-109.6166667,SASC,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,CULT,0.00055,CULT,NA,CULT,HH,Point of Pines Phase,,0,f
176,"1,226.00",Assemblage,1226_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,3,NA, ,NA,NA,NA, ,0,0,1226,Assemblage,Bonnell,,NM,LINCOLN,,MKR,8/8/91 0:00,1/28/92 0:00,,QA,LINCOLN,7.5,NA,32.22,-105.22,,,NA,32.36666667,-105.3666667,SASC,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,CULT,0.00085,CULT,NA,CULT,HH,Mogollon; Jornada Mongollon; Glencoe Phase,"BT, HB, DE",0,f
212,"1,460.00",Mound,1460_Mound,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,4,NA, ,NA,NA,NA, ,0,0,1460,Mound,Nephi Mound 1,,UT,JUAB,42Jb2,RFS,2/6/92 0:00,,,QA,MONA,7.5,NA,39.45,-111.45,,UMNH,NA,39.75,-111.75,SASC,AN,CU,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,CULT,0.0015,CULT,NA,CULT,HH,Fremont; Sevier,"HB, DE, BT",0,f
268,"1,913.00",Structure 12,1913_Structure 12,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,1913,Structure 12,Lilbourn,,MO,NEW MADRID,23NM38,MAG,10/8/92 0:00,3/5/02 0:00,,QA,CATRON,7.5,NA,36.34,-89.36,,UMO,NA,36.56666667,-89.6,FINE,FL,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,14CG,0.00101,14CG,NA,CULT,HH,Mississippian,,0,f
269,"1,913.00",Structure 25,1913_Structure 25,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,2,5,NA, ,NA,NA,NA, ,0,0,1913,Structure 25,Lilbourn,,MO,NEW MADRID,23NM38,MAG,10/8/92 0:00,3/5/02 0:00,,QA,CATRON,7.5,NA,36.34,-89.36,,UMO,NA,36.56666667,-89.6,FINE,FL,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,14CG,0.00101,14CG,NA,CULT,HH,Mississippian,,0,f
270,"1,913.00",Structure 9,1913_Structure 9,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,3,NA, ,NA,NA,NA, ,0,0,1913,Structure 9,Lilbourn,,MO,NEW MADRID,23NM38,MAG,10/8/92 0:00,3/5/02 0:00,,QA,CATRON,7.5,NA,36.34,-89.36,,UMO,NA,36.56666667,-89.6,FINE,FL,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,14CG,0.00101,14CG,NA,CULT,HH,Mississippian,,0,f
275,"1,940.00",Assemblage,1940_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,18,2,NA, ,NA,NA,NA, ,0,0,1940,Assemblage,Turner Cave,,AR,MADISON,3MA20,MAG,10/19/92 0:00,,,QA,HINDSVILLE,7.5,NA,36.7,-93.45,,UARK,NA,36.11666667,-93.75,,CV,HZ,,Y,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,CULT,0.01,CULT,NA,CULT,HH,Caddo; Mississippian; Archaic,BT,0,f
296,"2,163.00",Combined,2163_Combined,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,2163,Combined,Muddy Brook Rock Shelter,,NY,PUTNAM,,MKM,8/26/92 0:00,,,E,BREWSTER,7.5,NA,41.2916,-73.3621,,,NA,41.48333333,-73.6,CRSE,CV,RS,,Y,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,CULT,0.01,CULT,NA,CULT,HH,,,0,f
306,"2,210.00",Assemblage,2210_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,6,NA, ,NA,NA,NA, ,0,0,2210,Assemblage,Nahrwold No.1,,NY,SCHOHARIE,Shr 51-4,MKM,8/27/92 0:00,,,E,LIVINGSTONVILLE,7.5,NA,42.343,-74.2037,,NYSM,NA,42.56666667,-74.33333333,,FL,,TE,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,5E-04,500,late-Holocene,14CG,0.00064,14CG,NA,CULT,HH,,,0,f
272,"1,916.00",Assemblage,1916_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,3,NA, ,NA,NA,NA, ,0,0,1916,Assemblage,Gooseneck,,MO,CARTER,23CT54,MAG,10/8/92 0:00,3/5/02 0:00,,QA,BIG SPRING,7.5,NA,38.49,-90.57,,UMMA,NA,38.81666667,-90.95,FLOT,FL,,TE,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00051,510,late-Holocene,14CG,0.001305,THER,NA,CULT,HH,Middle Mississippian,,0,f
177,"1,235.00",Assemblage,1235_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,10,NA,NA, ,NA,NA,NA, ,0,0,1235,Assemblage,Arroyo Hondo Pueblo,,NM,SANTA FE,,MKR,8/15/91 0:00,,,QA,SETON VILLAGE,7.5,NA,35.3,-105.52,2161,,NA,35.5,-105.8666667,SASC,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.000525,525,late-Holocene,DEND,0.00065,DEND,NA,CULT,HH,Anasazi; Tanoun Anasazi,"BT, HB",0,f
413,"3,451.00",House 8,3451_House 8,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,3451,House 8,Nodwell Site,,ON,Bruce,BcHi-3,BW,7/26/00 0:00,1/30/01 0:00,"Saugeen River, Lake Huron",QA,41 A/06,"1:50,000",NA,44.262,-81.233,,NMC,NA,44.43333333,-81.38333333,,AN,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,,,,NA,0.000535,535,late-Holocene,14CU,0.000685,14CU,NA,CULT,HH,"Late Woodland, Middleport","HB, BN, BT",0,f
414,"3,451.00",House 9,3451_House 9,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,3451,House 9,Nodwell Site,,ON,Bruce,BcHi-3,BW,7/26/00 0:00,1/30/01 0:00,"Saugeen River, Lake Huron",QA,41 A/06,"1:50,000",NA,44.262,-81.233,,NMC,NA,44.43333333,-81.38333333,,AN,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,,,,NA,0.000535,535,late-Holocene,14CU,0.000685,14CU,NA,CULT,HH,"Late Woodland, Middleport","HB, BN, BT",0,f
90,467,Assemblage,467_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,467,Assemblage,Paul Brave Site,,ND,SIOUX,32SI4,MKM,7/30/91 0:00,,lat. changed to put site in North Dakota,QP,MAHTO NE,7.5,NA,45.57,-100.323,,SI-RBS,NA,45.95,-100.5333333,,FL,,FP,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00065,CULT,NA,CULT,HH,Archaic Mandan,"HB, BT, DE",0,f
114,801,Midden,801_Midden,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,801,Midden,Ten Mile Rock,,AR,WASHINGTON,3WA197,MAG,3/16/92 0:00,,,QA,SULPHUR CITY,7.5,NA,35.52,-94,,UARK,NA,35.86666667,-94,CRSE,CV,RS,FL,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.001,CULT,NA,CULT,HH,Pre-Neosho,BT,0,f
134,933,Assemblage,933_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,2,NA, ,NA,NA,NA, ,0,0,933,Assemblage,Roland,,AR,ARKANSAS,3AR30,MKM,7/9/92 0:00,2/15/93 0:00,,QA,HENRICO SW,7.5,NA,34,-91.07,,UARK,NA,34,-91.11666667,CRSE,FL,,CH,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.003,CULT,NA,CULT,HH,Mississippian; Woodland,,0,f
138,948,Mississippian,948_Mississippian,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,948,Mississippian,Alexander,,AR,CONWAY,3CN117,MKM,7/9/92 0:00,,,QA,SOLGOHACHIA,7.5,NA,35.15,-92.37,87.5,,NA,35.25,-92.61666667,FINE,FL,,FP,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00085,CULT,NA,CULT,HH,Mississippian,BN,0,f
142,952,Feature 662,952_Feature 662,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,952,Feature 662,Ink Bayou,,AR,PULASKI,3PU252,MKM,7/10/92 0:00,,,QA,MCALMONT,7.5,NA,34.45,-92.07,,UARK,NA,34.75,-92.11666667,FINE,FL,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00095,CULT,NA,CULT,HH,Late Mississippian,"BN, BC, HB",0,f
162,"1,158.00",Canyon Creek Phase,1158_Canyon Creek Phase,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1158,Canyon Creek Phase,Point of Pines,,AZ,GRAHAM,,RFS,7/1/91 0:00,,,QA,POINT OF PINES EAST,7.5,NA,33.15,-109.37,,UALP,NA,33.25,-109.6166667,SASC,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.000625,CULT,NA,CULT,HH,Canyon Creek Phase,,0,f
187,"1,305.00",Assemblage,1305_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,68,309,NA, ,NA,NA,NA, ,0,0,1305,Assemblage,Grasshopper Pueblo,,AZ,NAVAJO,P:14:1,RFS,9/12/91 0:00,,Dates represent only sample of 164 tree-ring dates,E,SPOTTED MOUNTAIN,7.5,NA,34.5,-110.4,1829,,NA,34.08333333,-110.6666667,SASC,AN,CU,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,DEND,0.000675,DEND,NA,CULT,"HH, NA",Mogollon,"BN, DE",0,f
254,"1,841.00",Assemblage,1841_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1841,Assemblage,Cave Hollow,,AR,MARION,,MAG,10/8/92 0:00,,,QP,PYATT,7.5,NA,36.15,-92.45,,UMMA/UARK,NA,36.25,-92.75,,CV,HZ,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00165,CULT,NA,CULT,HH,Late Woodland; Mississippian,BT,0,f
255,"1,856.00",Assemblage,1856_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,CF,NA,1,NA, ,NA,NA,NA, ,0,0,1856,Assemblage,Montgomery M4,,MO,BARRY,23BY,MAG,10/8/92 0:00,,,QA,GOLDEN,7.5,NA,36.3,-93.37,,UARK,NA,36.5,-93.61666667,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
256,"1,862.00",Assemblage,1862_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,CF,NA,1,NA, ,NA,NA,NA, ,0,0,1862,Assemblage,Craddock Shelter,,AR,CRAWFORD,3CW2,MAG,10/8/92 0:00,,,QP,MOUNTAINBURG,7.5,NA,35.37,-94.07,,UARK,NA,35.61666667,-94.11666667,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
257,"1,869.00",Assemblage,1869_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1869,Assemblage,Breckenridge Shelter,,AR,CARROLL,3CR2,MAG,10/8/92 0:00,,,QA,BEAVER,7.5,NA,36.22,-93.45,,UARK,NA,36.36666667,-93.75,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
258,"1,881.00",Assemblage,1881_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,CF,NA,1,NA, ,NA,NA,NA, ,0,0,1881,Assemblage,Green Bluff,,AR,BENTON,3BE10,MAG,10/8/92 0:00,,,QA,GARFIELD,7.5,NA,36.22,-94.07,,UARK,NA,36.36666667,-94.11666667,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
259,"1,882.00",Assemblage,1882_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,5,NA, ,NA,NA,NA, ,0,0,1882,Assemblage,Eden Bluff,,AR,BENTON,3BE6,MAG,10/8/92 0:00,,,QA,ROGERS,7.5,NA,36.15,-94,,UARK,NA,36.25,-94,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
260,"1,886.00",Assemblage,1886_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,CF,NA,1,NA, ,NA,NA,NA, ,0,0,1886,Assemblage,Butler B1,,AR,BENTON,3BE3,MAG,10/8/92 0:00,,,QA,ROGERS,7.5,NA,36.15,-94,,UARK,NA,36.25,-94,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
261,"1,889.00",Assemblage,1889_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,CF,NA,1,NA, ,NA,NA,NA, ,0,0,1889,Assemblage,Brown Bluff,,AR,WASHINGTON,3WA10,MAG,10/8/92 0:00,,,QA,WEST FORK,7.5,NA,35.52,-94.07,,UARK,NA,35.86666667,-94.11666667,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
262,"1,890.00",Assemblage,1890_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1890,Assemblage,Curiosity Bluff,,AR,WASHINGTON,3WA12,MAG,10/8/92 0:00,,,QA,WINSLOW,7.5,NA,35.45,-94.07,,UARK,NA,35.75,-94.11666667,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
263,"1,896.00",Assemblage,1896_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,2,NA, ,NA,NA,NA, ,0,0,1896,Assemblage,Poole Shelter,,AR,WASHINGTON,3WA6,MAG,10/8/92 0:00,,,QA,DURHAM,7.5,NA,35.52,-93.52,,UARK,NA,35.86666667,-93.86666667,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
264,"1,902.00",Assemblage,1902_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,6,NA, ,NA,NA,NA, ,0,0,1902,Assemblage,Thompson Shelter,,AR,NEWTON,3NW5,MAG,10/8/92 0:00,,,QA,MT. JUDEA NE,7.5,NA,35.52,-93,,UARK,NA,35.86666667,-93,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
265,"1,904.00",Assemblage,1904_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1904,Assemblage,Ash Cave,,AR,MADISON,3MA12,MAG,10/8/92 0:00,,,QA,HINDSVILLE,7.5,NA,36.7,-93.45,,UARK,NA,36.11666667,-93.75,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
266,"1,906.00",Assemblage,1906_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1906,Assemblage,Fanning Cave,,AR,MADISON,3MA5,MAG,10/8/92 0:00,,,QA,ROCKHOUSE,7.5,NA,36.15,-93.37,,UARK,NA,36.25,-93.61666667,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
267,"1,907.00",Assemblage,1907_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1907,Assemblage,Marshall Shelter,,AR,MADISON,3MA27,MAG,10/8/92 0:00,,,QA,HINDSVILLE,7.5,NA,36.7,-93.45,,UARK,NA,36.11666667,-93.75,,CV,RS,,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.00145,CULT,NA,CULT,HH,,,0,f
273,"1,932.00",Assemblage,1932_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1932,Assemblage,Soc,,AR,WHITE,3WH34,MAG,10/8/92 0:00,,,QA,JUDSONIA,7.5,NA,35.15,-91.37,,,NA,35.25,-91.61666667,NOSC,FL,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,LHOL,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.003,CULT,NA,CULT,"HH, HB",Woodland; Mississippian,"BT, BN",0,f
276,"1,953.00",Assemblage,1953_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1953,Assemblage,Lander Shelter,,MO,STONE,23SN245,MAG,10/31/92 0:00,,,QA,GARBER,7.5,NA,36.37,-93.15,,UMO,NA,36.61666667,-93.25,,CV,RS,,,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,0.00055,550,late-Holocene,CULT,0.01,CULT,NA,CULT,HH,Early Archaic; Mississippian,,0,f
