spec,longitude,latitude
Urocyon cinereoargenteus,-109.4724986327,31.2730969555
Urocyon cinereoargenteus,-75.6625607032,42.8373673504
Urocyon cinereoargenteus,-80.0633718073,26.438061385
Urocyon cinereoargenteus,-83.7219893785,34.7144219202
Urocyon cinereoargenteus,-95.3857610278,32.7472838324
Urocyon cinereoargenteus,-83.19345,35.0536278333
Urocyon cinereoargenteus,-90.4618389121,19.891892862
Urocyon cinereoargenteus,-89.2495174336,33.4874569219
Urocyon cinereoargenteus,-74.4626783333,44.2156033333
Urocyon cinereoargenteus,-97.972539507,30.8701018108
Urocyon cinereoargenteus,-89.30545589,19.05077621
Urocyon cinereoargenteus,-93.143047,44.478383
Urocyon cinereoargenteus,-73.6760625243,5.4604157679
Urocyon cinereoargenteus,-99.2215945367,19.9932921971
Urocyon cinereoargenteus,-107.4192149,37.0280607
Urocyon cinereoargenteus,-96.9095328483,18.6716882026
Urocyon cinereoargenteus,-103.5803008908,22.1893554917
Urocyon cinereoargenteus,-98.557542221,32.881110581
Urocyon cinereoargenteus,-100.980586,20.917847
Urocyon cinereoargenteus,-89.0783333333,13.4988888889
Urocyon cinereoargenteus,-116.8519833333,33.6960833333
Urocyon cinereoargenteus,-89.756989181,14.8737901755
Urocyon cinereoargenteus,-120.36503564,38.23627244
Urocyon cinereoargenteus,-99.2424866667,30.3202133333
Urocyon cinereoargenteus,-122.442526381,42.1130443574
Urocyon cinereoargenteus,-111.8903666667,26.7660777778
Urocyon cinereoargenteus,-96.304046,36.222875
Urocyon cinereoargenteus,-81.0812611667,32.17908
Urocyon cinereoargenteus,-119.8933157859,36.8401728482
Urocyon cinereoargenteus,-101.2096416667,29.70235
Urocyon cinereoargenteus,-122.9476173486,41.7857709845
Urocyon cinereoargenteus,-79.1030878795,43.0178034159
Urocyon cinereoargenteus,-123.3300099894,38.9499812283
Urocyon cinereoargenteus,-116.926426,32.7044319722
Urocyon cinereoargenteus,-89.7782555556,43.6344611111
Urocyon cinereoargenteus,-81.9960140077,29.0713029859
Urocyon cinereoargenteus,-87.1459111667,32.749945
Urocyon cinereoargenteus,-124.3990110978,42.6085114029
Urocyon cinereoargenteus,-122.0363464884,37.6784575683
Urocyon cinereoargenteus,-107.933,37.8237972222
Urocyon cinereoargenteus,-119.8004636,39.2072233
Urocyon cinereoargenteus,-109.9339523353,22.8809636911
Urocyon cinereoargenteus,-80.6578,25.4035116667
Urocyon cinereoargenteus,-99.7170866667,32.44417
Urocyon cinereoargenteus,-106.0124666667,25.0697
Urocyon cinereoargenteus,-77.5681670188,41.5007536892
Urocyon cinereoargenteus,-96.9511291945,19.1317044203
Urocyon cinereoargenteus,-89.8655588679,35.0912037378
Urocyon cinereoargenteus,-101.9861125946,22.3033571911
Urocyon cinereoargenteus,-95.7444227056,36.2602847929
Urocyon cinereoargenteus,-81.4851285648,31.1882121748
Urocyon cinereoargenteus,-77.6377232785,34.4194947156
Urocyon cinereoargenteus,-104.075211,29.163483
Urocyon cinereoargenteus,-81.7981089279,34.7904921797
Urocyon cinereoargenteus,-117.6927259485,33.4861797352
Urocyon cinereoargenteus,-111.009993,32.108819
Urocyon cinereoargenteus,-120.2921079722,37.7950719722
Urocyon cinereoargenteus,-99.3514575878,23.9989735249
Urocyon cinereoargenteus,-80.1282797528,26.1966828992
Urocyon cinereoargenteus,-99.6671953285,17.8916072195
Urocyon cinereoargenteus,-90.934455,37.9502966667
Urocyon cinereoargenteus,-103.6068819722,20.780217
Urocyon cinereoargenteus,-121.5500633333,36.3866833333
Urocyon cinereoargenteus,-78.602762,39.852967
Urocyon cinereoargenteus,-117.9741424685,34.0878467752
Urocyon cinereoargenteus,-120.8364086718,37.7746573297
Urocyon cinereoargenteus,-118.4135138393,34.78352222
Urocyon cinereoargenteus,-104.5849745221,21.6493328811
Urocyon cinereoargenteus,-84.869810231,35.1919395838
Urocyon cinereoargenteus,-122.5986879319,43.9663783944
Urocyon cinereoargenteus,-101.5552533333,35.7180633333
Urocyon cinereoargenteus,-96.5755767822,31.4129180908
Urocyon cinereoargenteus,-110.640566,24.304503
Urocyon cinereoargenteus,-103.0667491023,32.4628021021
Urocyon cinereoargenteus,-97.8737138889,27.5065388889
Urocyon cinereoargenteus,-103.7707930058,25.2634781422
Urocyon cinereoargenteus,-93.0297558149,35.8599037293
Urocyon cinereoargenteus,-90.009336,21.17128
Urocyon cinereoargenteus,-111.3426133333,34.7226333333
